#SDMCCDataTemplate:Interventions_v1.2
Study_Code,Cohort_ID,Planned_Visit_ID,Intervention_ID,Intervention_Name,Exposure_Process_Reported,Product_Code,MAB_Code,Adjuvant_Code,Challenge_Strain_Name,Passage_History,Dose,Dose_Units,Delivery_Volume,Formulation,Route_Of_Admin_Reporter
"Study-320_antigenic_dist","PA2013_SD","Post-Vac-Visit","SD_TIV","Standard Dose TIV FluZone vaccine","Vaccination","Fluzone 2013-2014","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
"Study-320_antigenic_dist","PA2014_SD","Post-Vac-Visit","SD_TIV","Standard Dose TIV FluZone vaccine","Vaccination","Fluzone 2014-2015","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
"Study-320_antigenic_dist","PA2015_SD","Post-Vac-Visit","SD_QIV","Standard Dose QIV FluZone vaccine","Vaccination","Fluzone Quadrivalent 2015-2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
"Study-320_antigenic_dist","PA2016_SD","Post-Vac-Visit","SD_QIV","Standard Dose QIV FluZone vaccine","Vaccination","Fluzone Quadrivalent 2016-2017","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
"Study-320_antigenic_dist","FL2013_SD","Post-Vac-Visit","SD_TIV","Standard Dose TIV FluZone vaccine","Vaccination","Fluzone 2013-2014","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
"Study-320_antigenic_dist","FL2014_SD","Post-Vac-Visit","SD_TIV","Standard Dose TIV FluZone vaccine","Vaccination","Fluzone 2014-2015","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
"Study-320_antigenic_dist","FL2015_SD","Post-Vac-Visit","SD_QIV","Standard Dose QIV FluZone vaccine","Vaccination","Fluzone Quadrivalent 2015-2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
"Study-320_antigenic_dist","FL2016_SD","Post-Vac-Visit","SD_QIV","Standard Dose QIV FluZone vaccine","Vaccination","Fluzone Quadrivalent 2016-2017","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
"Study-320_antigenic_dist","UGA2016_SD","Post-Vac-Visit","SD_QIV","Standard Dose QIV FluZone vaccine","Vaccination","Fluzone Quadrivalent 2016-2017","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
"Study-320_antigenic_dist","UGA2017_SD","Post-Vac-Visit","SD_QIV","Standard Dose QIV FluZone vaccine","Vaccination","Fluzone Quadrivalent 2017-2018","Not Applicable","Not Applicable","Not Applicable","Not Applicable","60","ug","Not Provided","Not Provided","Intramuscular"
